filename,gt_label,inlier_ratio,rss
frame_00235_straight_raw.png,straight,0.7000,238.6
frame_00236_straight_raw.png,straight,0.7273,492.6
frame_00237_straight_raw.png,straight,0.6364,348.2
frame_00238_straight_raw.png,straight,0.6923,558.6
frame_00239_straight_raw.png,straight,0.6364,338.1
frame_00240_straight_raw.png,straight,0.7778,123.4
frame_00241_straight_raw.png,straight,0.7273,366.8
frame_00242_straight_raw.png,straight,0.8000,186.4
frame_00243_straight_raw.png,straight,0.6667,218.5
frame_00244_straight_raw.png,straight,0.6667,191.2
frame_00245_straight_raw.png,straight,0.7000,440.4
frame_00246_straight_raw.png,straight,0.7500,127.6
frame_00247_straight_raw.png,straight,0.6250,231.1
frame_00248_straight_raw.png,straight,0.7500,112.5
frame_00249_straight_raw.png,straight,0.7778,234.6
frame_00250_straight_raw.png,straight,0.7143,123.3
frame_00251_straight_raw.png,straight,0.8333,35.2
frame_00252_straight_raw.png,straight,0.6667,78.4
frame_00253_straight_raw.png,straight,0.8000,24.8
frame_00254_straight_raw.png,straight,0.6667,5410.0
frame_00255_straight_raw.png,straight,0.8571,5266.0
frame_00256_straight_raw.png,straight,0.6667,5370.8
frame_00257_straight_raw.png,straight,0.5000,7358.3
frame_00258_straight_raw.png,straight,0.5556,364.0
frame_00259_straight_raw.png,straight,0.7000,305.4
frame_00260_straight_raw.png,straight,0.6667,364.0
frame_00261_straight_raw.png,straight,0.6667,210.0
frame_00262_straight_raw.png,straight,0.8000,604.4
frame_00263_straight_raw.png,straight,0.7778,332.6
frame_00264_straight_raw.png,straight,0.6667,146.2
frame_00265_straight_raw.png,straight,0.6364,173.5
frame_00266_straight_raw.png,straight,0.8000,215.7
frame_00267_straight_raw.png,straight,0.6667,280.9
frame_00268_straight_raw.png,straight,0.6667,176.3
frame_00269_straight_raw.png,straight,0.7273,424.2
frame_00270_straight_raw.png,straight,0.7778,180.9
frame_00271_straight_raw.png,straight,0.6000,415.5
frame_00272_straight_raw.png,straight,0.6667,199.9
frame_00273_straight_raw.png,straight,0.7273,441.6
frame_00274_straight_raw.png,straight,0.6250,175.3
frame_00275_straight_raw.png,straight,0.7778,139.8
frame_00276_straight_raw.png,straight,0.7500,157.9
frame_00277_straight_raw.png,straight,0.8750,111.9
frame_00278_straight_raw.png,straight,0.7500,215.5
frame_00279_straight_raw.png,straight,0.8571,66.1
frame_00280_straight_raw.png,straight,0.7143,141.5
frame_00281_straight_raw.png,straight,0.8333,55.3
frame_00282_straight_raw.png,straight,0.7500,373.4
frame_00283_straight_raw.png,straight,0.8333,47.8
frame_00284_straight_raw.png,straight,0.5556,399.2
frame_00285_straight_raw.png,straight,0.6667,314.3
frame_00286_straight_raw.png,straight,0.7000,258.3
frame_00287_straight_raw.png,straight,0.7000,445.3
frame_00288_straight_raw.png,straight,0.7778,219.5
frame_00289_straight_raw.png,straight,0.6667,545.5
frame_00290_straight_raw.png,straight,0.7000,247.9
frame_00291_straight_raw.png,straight,0.7000,371.9
frame_00292_straight_raw.png,straight,0.8182,191.7
frame_00293_straight_raw.png,straight,0.7000,338.1
frame_00294_straight_raw.png,straight,0.7778,237.9
frame_00295_straight_raw.png,straight,0.7778,463.1
frame_00296_straight_raw.png,straight,0.8889,190.3
frame_00297_straight_raw.png,straight,0.8182,505.8
frame_00298_straight_raw.png,straight,0.7500,121.3
frame_00299_straight_raw.png,straight,0.7500,117.3
frame_00300_straight_raw.png,straight,0.7000,315.4
frame_00301_straight_raw.png,straight,0.8000,177.4
frame_00302_straight_raw.png,straight,0.6000,361.0
frame_00303_straight_raw.png,straight,0.7000,199.2
frame_00304_straight_raw.png,straight,0.6000,416.2
frame_00305_straight_raw.png,straight,0.8000,245.8
frame_00306_straight_raw.png,straight,0.7000,455.2
frame_00307_straight_raw.png,straight,0.7000,241.1
frame_00308_straight_raw.png,straight,0.8000,469.6
frame_00309_straight_raw.png,straight,0.6364,298.2
frame_00310_straight_raw.png,straight,0.7273,510.2
frame_00311_straight_raw.png,straight,0.7273,302.5
frame_00312_straight_raw.png,straight,0.8182,145.8
frame_00313_straight_raw.png,straight,0.7273,359.7
frame_00314_straight_raw.png,straight,0.7778,177.4
frame_00315_straight_raw.png,straight,0.7000,376.8
frame_00316_straight_raw.png,straight,0.7273,241.6
frame_00317_straight_raw.png,straight,0.7500,480.2
frame_00318_straight_raw.png,straight,0.7778,207.7
frame_00319_straight_raw.png,straight,0.6000,402.7
frame_00320_straight_raw.png,straight,0.7000,265.7
frame_00321_straight_raw.png,straight,0.6000,459.0
frame_00322_straight_raw.png,straight,0.7000,239.6
frame_00323_straight_raw.png,straight,0.8000,136.4
frame_00324_straight_raw.png,straight,0.7000,268.3
frame_00325_straight_raw.png,straight,0.8000,147.8
frame_00326_straight_raw.png,straight,0.7500,196.3
frame_00327_straight_raw.png,straight,0.8750,117.2
frame_00328_straight_raw.png,straight,0.6667,228.2
frame_00329_straight_raw.png,straight,0.7143,83.5
frame_00330_straight_raw.png,straight,0.7143,182.2
frame_00331_straight_raw.png,straight,0.8333,56.8
frame_00332_straight_raw.png,straight,0.6667,117.4
